id,lat,long,description,full_address,source,created_at,updated_at,address,polygon,street_number,street_name,locality,postal_code,sub_locality,admin_levels,country,country_code,timezone,raw
9352,42.3889337,-71.0337399,,"63 shawmut street 2",,"2016-12-19 14:17:50","2016-12-19 14:17:51",,"{""south"":42.3889337,""west"":-71.0337399,""north"":42.3889337,""east"":-71.0337399}",63,"Shawmut Street",Chelsea,02150,Massachusetts,,"United States",US,,
9353,42.391688,-71.031186,,"75 bellingham street 1",,"2016-12-19 14:17:52","2016-12-19 14:17:53",,"{""south"":42.391688,""west"":-71.031186,""north"":42.391688,""east"":-71.031186}",75,"Bellingham Street",Chelsea,02150,Massachusetts,,"United States",US,,
9354,42.3911736,-71.0324283,,"48 chester avenue 1",,"2016-12-19 14:17:53","2016-12-19 14:17:54",,"{""south"":42.3911736,""west"":-71.0324283,""north"":42.3911736,""east"":-71.0324283}",48,"Chester Avenue",Chelsea,02150,Massachusetts,,"United States",US,,
9355,42.4012998,-71.0133964,,"465 crescent avenue",,"2016-12-19 14:17:56","2016-12-19 14:17:57",,"{""south"":42.4012882,""west"":-71.0133964,""north"":42.4012998,""east"":-71.013386}",465,"Crescent Avenue",Chelsea,02150,Massachusetts,,"United States",US,,
9356,42.3990084,-71.0306702,,"10 forsyth street 610",,"2016-12-19 14:17:57","2016-12-19 14:17:58",,"{""south"":42.3987003,""west"":-71.0308791,""north"":42.3993166,""east"":-71.0304614}",10,"Forsyth Street",Chelsea,02150,Massachusetts,,"United States",US,,
9357,42.4080031,-71.0281248,,"29 guam road b",,"2016-12-19 14:17:58","2016-12-19 14:17:58",,"{""south"":42.4079982,""west"":-71.0281423,""north"":42.4080031,""east"":-71.0281248}",29,"Guam Road",Chelsea,02150,Massachusetts,,"United States",US,,
10973,42.395733,-71.029398,,"680 broadway 2",,"2016-12-19 17:48:14","2016-12-19 17:48:15",,"{""south"":42.395733,""west"":-71.029398,""north"":42.395733,""east"":-71.029398}",680,Broadway,Chelsea,02150,Massachusetts,,"United States",US,,
9358,42.3980454,-71.0321882,,"14 bloomingdale street 108",,"2016-12-19 14:18:00","2016-12-19 14:18:00",,"{""south"":42.3976146,""west"":-71.0325823,""north"":42.3984763,""east"":-71.0317941}",14,"Bloomingdale Street",Chelsea,02150,Massachusetts,,"United States",US,,
9359,42.3939793,-71.0339637,,"279 chestnut street",,"2016-12-19 14:18:01","2016-12-19 14:18:02",,"{""south"":42.3939682,""west"":-71.0339637,""north"":42.3939793,""east"":-71.0339525}",279,"Chestnut Street",Chelsea,02150,Massachusetts,,"United States",US,,
9360,42.405541,-71.0335968,,"11 murray street 2",,"2016-12-19 14:18:02","2016-12-19 14:18:03",,"{""south"":42.405541,""west"":-71.0335968,""north"":42.405541,""east"":-71.0335968}",11,"Murray Street",Chelsea,02150,Massachusetts,,"United States",US,,
