tag_id,property_id,created_at,updated_at,deleted_at,created_by,deleted_by
31,16172,"2016-09-07 19:51:56","2016-09-07 19:51:56",,11,
11,16172,"2016-09-14 17:54:50","2016-09-14 17:54:50",,11,
11,35,"2016-09-14 18:00:56","2016-09-14 18:00:56",,11,
20,10205,"2016-08-04 15:15:11","2016-08-04 15:15:11",,11,
11,10205,"2016-08-04 15:20:16","2016-08-04 15:20:16",,11,
11,186,"2016-09-14 18:06:34","2016-09-14 18:06:34",,11,
20,3081,"2016-09-14 16:20:29","2016-09-14 16:20:29",,11,
20,4475,"2016-09-14 17:47:32","2016-09-14 17:47:32","2016-10-17 17:52:05",11,11
23,2138,"2016-09-07 19:26:52","2016-09-07 19:26:52","2016-10-12 17:26:54",11,11
52,840,"2016-09-14 16:15:25","2016-09-14 16:15:25",,11,
20,2970,"2016-09-14 16:19:30","2016-09-14 16:19:30","2016-10-17 17:51:13",11,11
29,18062,"2016-09-07 19:20:38","2016-09-07 19:20:38",,11,
11,5096,"2016-09-07 20:51:03","2016-09-07 20:51:03","2016-10-19 13:43:45",11,11
20,9907,"2016-08-04 14:58:21","2016-08-04 14:58:21","2016-10-19 13:50:05",11,11
20,16914,"2016-09-07 19:45:56","2016-09-07 19:45:56","2016-10-26 18:54:44",11,11
11,16914,"2016-09-07 19:45:25","2016-09-07 19:45:25","2016-10-26 18:54:47",11,11
20,2970,"2016-09-14 17:47:54","2016-09-14 17:47:54","2016-10-17 17:51:11",11,11
11,7197,"2016-09-14 18:09:03","2016-09-14 18:09:03",,11,
62,688,"2016-11-14 20:55:50","2016-11-14 20:55:50",,11,
11,840,"2016-09-14 16:15:08","2016-09-14 16:15:08",,11,
11,2894,"2016-09-14 17:05:13","2016-09-14 17:05:13",,11,
11,11610,"2016-09-14 17:25:39","2016-09-14 17:25:39",,11,
11,10747,"2016-09-14 17:29:50","2016-09-14 17:29:50",,11,
20,863,"2016-09-14 16:29:11","2016-09-14 16:29:11",,11,
20,7833,"2016-09-14 18:05:44","2016-09-14 18:05:44",,11,
31,6592,"2016-09-26 18:27:24","2016-09-26 18:27:24",,11,
55,9237,"2016-10-24 19:27:04","2016-10-24 19:27:04","2016-11-14 21:30:04",11,11
43,840,"2016-10-03 14:45:36","2016-10-03 14:45:36",,11,
65,9237,"2016-11-14 21:29:18","2016-11-14 21:29:18",,11,
55,4623,"2016-10-24 19:23:50","2016-10-24 19:23:50","2016-11-14 21:35:17",11,11
31,2158,"2016-10-19 13:39:40","2016-10-19 13:39:40",,11,
20,5096,"2016-09-14 18:07:33","2016-09-14 18:07:33","2016-10-19 13:43:56",11,11
64,584,"2016-11-14 21:35:12","2016-11-14 21:35:12",,11,
43,3081,"2016-10-03 14:52:15","2016-10-03 14:52:15",,11,
43,863,"2016-10-03 14:55:48","2016-10-03 14:55:48",,11,
64,1536,"2016-11-14 20:56:48","2016-11-14 20:56:48",,11,
64,5225,"2016-10-19 13:05:50","2016-10-19 13:05:50",,11,
52,5096,"2016-10-19 13:44:26","2016-10-19 13:44:26",,11,
43,12291,"2016-10-19 13:53:26","2016-10-19 13:53:26",,11,
11,17785,"2016-10-12 16:51:27","2016-10-12 16:51:27",,11,
11,13092,"2016-10-12 16:48:51","2016-10-12 16:48:51","2016-10-19 13:54:06",11,11
20,13092,"2016-10-12 16:49:14","2016-10-12 16:49:14","2016-10-19 13:54:08",11,11
20,15297,"2016-10-12 16:47:38","2016-10-12 16:47:38",,11,
59,27,"2016-10-26 20:14:01","2016-10-26 20:14:01",,11,
20,17785,"2016-10-12 16:51:34","2016-10-12 16:51:34","2016-10-12 17:02:49",11,11
20,17785,"2016-10-12 17:00:09","2016-10-12 17:00:09","2016-10-12 17:02:49",11,11
52,17,"2016-10-12 17:35:35","2016-10-12 17:35:35",,11,
52,4767,"2016-10-12 17:38:05","2016-10-12 17:38:05",,11,
52,5225,"2016-10-12 17:44:22","2016-10-12 17:44:22",,11,
52,1282,"2016-10-12 17:52:58","2016-10-12 17:52:58",,11,
52,1348,"2016-10-12 17:59:37","2016-10-12 17:59:37",,11,
52,5195,"2016-10-12 18:03:36","2016-10-12 18:03:36",,11,
52,186,"2016-10-19 13:58:06","2016-10-19 13:58:06",,11,
52,836,"2016-10-12 18:08:57","2016-10-12 18:08:57",,11,
43,836,"2016-10-03 14:43:58","2016-10-03 14:43:58","2016-10-12 18:11:26",11,11
52,1332,"2016-10-05 19:00:39","2016-10-05 19:00:39",,11,
52,12340,"2016-10-12 17:33:26","2016-10-12 17:33:26",,11,
52,624,"2016-10-12 18:13:32","2016-10-12 18:13:32",,11,
52,1621,"2016-10-12 18:14:51","2016-10-12 18:14:51",,11,
16,3913,"2016-10-12 18:22:08","2016-10-12 18:22:08",,11,
