id,upload_id,property_id,row_labels,total,created_at,updated_at,raw
186,58,818,"113 MARLBORO ST",6,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":186,""upload_id"":58,""property_id"":818,""row_labels"":""113 MARLBORO ST"",""total"":6,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
189,58,819,"113 WILLOW ST",4,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":189,""upload_id"":58,""property_id"":819,""row_labels"":""113 WILLOW ST"",""total"":4,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
193,58,831,"115 BROADWAY",3,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":193,""upload_id"":58,""property_id"":831,""row_labels"":""115 BROADWAY"",""total"":3,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
196,58,839,"115 SUMMIT AV",11,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":196,""upload_id"":58,""property_id"":839,""row_labels"":""115 SUMMIT AV"",""total"":11,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
199,58,844,"116 CENTRAL AV",2,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":199,""upload_id"":58,""property_id"":844,""row_labels"":""116 CENTRAL AV"",""total"":2,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
203,58,849,"116 MARLBORO ST",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":203,""upload_id"":58,""property_id"":849,""row_labels"":""116 MARLBORO ST"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
206,58,853,"116 SPENCER AV",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":206,""upload_id"":58,""property_id"":853,""row_labels"":""116 SPENCER AV"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
214,58,875,"118 SHURTLEFF ST",2,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":214,""upload_id"":58,""property_id"":875,""row_labels"":""118 SHURTLEFF ST"",""total"":2,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
217,58,883,"119 CONGRESS AV",3,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":217,""upload_id"":58,""property_id"":883,""row_labels"":""119 CONGRESS AV"",""total"":3,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
221,58,888,"119 SHURTLEFF ST",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":221,""upload_id"":58,""property_id"":888,""row_labels"":""119 SHURTLEFF ST"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
224,58,901,"12 GARDNER ST",3,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":224,""upload_id"":58,""property_id"":901,""row_labels"":""12 GARDNER ST"",""total"":3,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
227,58,7368,"12 JONES AV",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":227,""upload_id"":58,""property_id"":7368,""row_labels"":""12 JONES AV"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
231,58,919,"12 SAGAMORE AV",2,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":231,""upload_id"":58,""property_id"":919,""row_labels"":""12 SAGAMORE AV"",""total"":2,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
234,58,17300,"120 #1 WILLIAMS ST",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":234,""upload_id"":58,""property_id"":17300,""row_labels"":""120 #1 WILLIAMS ST"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
238,58,936,"120 EASTERN AV - UNIT 1",4,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":238,""upload_id"":58,""property_id"":936,""row_labels"":""120 EASTERN AV - UNIT 1"",""total"":4,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
241,58,948,"120 SHURTLEFF ST",5,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":241,""upload_id"":58,""property_id"":948,""row_labels"":""120 SHURTLEFF ST"",""total"":5,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
245,58,15545,"121 MAVERICK ST",7,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":245,""upload_id"":58,""property_id"":15545,""row_labels"":""121 MAVERICK ST"",""total"":7,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
248,58,966,"122 CENTRAL AV",8,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":248,""upload_id"":58,""property_id"":966,""row_labels"":""122 CENTRAL AV"",""total"":8,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
